Grenada,GRD,North America,1.110583864,1.954724849,3.537166095,2.736328982,2.119146916,2.269289046,2.333994642,2.398259952,2.626438327,2.688960701
Guatemala,GTM,North America,0.434248626,0.81278639,0.821948809,0.864132971,0.911388463,1.049628082,1.105025419,1.029997461,1.120698338,1.162970924
Guinea,GIN,Africa,0.157377586,0.17872207,0.229870314,0.197188175,0.197646507,0.218475864,0.236359356,0.272858221,0.298689018,0.306735631
Guinea-Bissau,GNB,Africa,0.174618484,0.121867101,0.151266067,0.147253458,0.154877885,0.156519105,0.168978586,0.164908881,0.166237649,0.167473846
Guyana,GUY,South America,1.566021876,2.186941325,2.688294895,2.649112974,2.742589274,2.754853673,3.267082718,3.236152711,3.297204014,3.568061597
Haiti,HTI,North America,0.147285379,0.175832588,0.239401567,0.258254253,0.290029328,0.310495591,0.313612773,0.306529824,0.298753559,0.297479358
Honduras,HND,North America,0.484838026,0.749617868,1.05091152,1.04568224,1.036389093,1.068373228,1.000972673,0.961893862,1.026258974,1.026225098
Hungary,HUN,Europe,6.498947174,5.350127818,4.377864468,4.120050589,4.11798843,4.407180501,4.50885432,4.744601547,4.746529359,4.74663103
Iceland,ISL,Europe,7.65228038,7.930157714,5.799523611,6.269999047,6.261721492,6.227045154,4.859303764,4.863133247,4.819673475,4.548442258
India,IND,Asia,0.647456601,0.885079459,1.498202508,1.527674907,1.642467654,1.631321083,1.639915139,1.713496761,1.791032878,1.775922673
Indonesia,IDN,Asia,0.815382646,1.311004933,1.924325888,1.768585051,1.888578445,1.885623811,1.842694957,1.955849726,2.160470329,2.299255915
"Iran, Islamic Rep.",IRN,Asia,3.557216183,5.194190324,7.230830454,7.4395614,7.570501722,7.325759038,7.288890815,7.412808941,7.445084604,7.277950876
Iraq,IRQ,Asia,3.636233695,3.558021245,3.809304785,3.920319885,3.647695347,3.526952108,3.675389044,3.914070007,4.019393455,4.199836721
Ireland,IRL,Europe,8.810537585,11.17688705,8.072558903,7.723057986,7.628162753,7.881824817,8.163462657,7.858737173,7.737323783,7.245143221
